month,department,metric_name,metric_value,metric_unit,company_avg,notes
2025-01,Operations,shrinkage_rate,3.2,%,3.1,Baseline
2025-02,Operations,shrinkage_rate,3.3,%,3.2,Baseline
2025-03,Operations,shrinkage_rate,3.1,%,3.0,Baseline
2025-04,Operations,shrinkage_rate,3.2,%,3.1,Baseline
2025-05,Operations,shrinkage_rate,3.1,%,3.1,Slight improvement
2025-06,Operations,shrinkage_rate,2.9,%,3.1,Indianapolis improving
2025-07,Operations,shrinkage_rate,2.7,%,3.0,Continued improvement
2025-08,Operations,shrinkage_rate,2.5,%,3.0,Strong improvement
2025-09,Operations,shrinkage_rate,2.4,%,2.9,Leading company
2025-10,Operations,shrinkage_rate,2.3,%,2.9,Continued lead
2025-11,Operations,shrinkage_rate,2.2,%,2.9,Best in company
2025-12,Operations,shrinkage_rate,2.1,%,2.8,22% better than avg
2025-01,Operations,damage_rate,1.8,%,1.9,Baseline
2025-02,Operations,damage_rate,1.9,%,1.8,Baseline
2025-03,Operations,damage_rate,1.7,%,1.8,Baseline
2025-04,Operations,damage_rate,1.8,%,1.9,Baseline
2025-05,Operations,damage_rate,1.7,%,1.8,Slight improvement
2025-06,Operations,damage_rate,1.5,%,1.8,Indianapolis Zone C fix
2025-07,Operations,damage_rate,1.3,%,1.7,Strong improvement
2025-08,Operations,damage_rate,1.1,%,1.7,Continued improvement
2025-09,Operations,damage_rate,1.0,%,1.6,Leading company
2025-10,Operations,damage_rate,0.9,%,1.6,Continued lead
2025-11,Operations,damage_rate,0.9,%,1.5,Best in company
2025-12,Operations,damage_rate,0.8,%,1.5,47% better than avg
2025-01,Marketing,campaign_velocity,4.2,campaigns/month,4.0,Baseline
2025-02,Marketing,campaign_velocity,3.8,campaigns/month,4.1,Baseline
2025-03,Marketing,campaign_velocity,4.5,campaigns/month,4.2,Baseline
2025-04,Marketing,campaign_velocity,4.8,campaigns/month,4.3,Slight improvement
2025-05,Marketing,campaign_velocity,5.2,campaigns/month,4.2,Improvement
2025-06,Marketing,campaign_velocity,5.5,campaigns/month,4.4,Continued improvement
2025-07,Marketing,campaign_velocity,5.8,campaigns/month,4.3,Strong improvement
2025-08,Marketing,campaign_velocity,6.2,campaigns/month,4.5,Leading company
2025-09,Marketing,campaign_velocity,6.0,campaigns/month,4.4,Stable high
2025-10,Marketing,campaign_velocity,6.3,campaigns/month,4.5,Continued lead
2025-11,Marketing,campaign_velocity,6.5,campaigns/month,4.6,Best in company
2025-12,Marketing,campaign_velocity,6.4,campaigns/month,4.5,42% above avg
2025-01,Marketing,competitive_response_time,21,days,24,Baseline
2025-02,Marketing,competitive_response_time,24,days,23,Baseline
